id,rating,review,reviewable_id
1,2,strategize next-generation partnerships,8
2,4,morph back-end metrics,9
3,2,expedite dynamic niches,10
4,4,scale efficient communities,6
5,2,grow killer communities,8
6,1,reinvent visionary e-markets,13
7,2,strategize dot-com mindshare,19
8,1,innovate viral technologies,10
9,1,harness B2C convergence,4
10,5,orchestrate web-enabled bandwidth,17
11,1,syndicate bricks-and-clicks channels,15
12,3,innovate impactful channels,3
13,2,embrace out-of-the-box action-items,6
14,5,engage plug-and-play e-business,8
15,3,incentivize cross-platform experiences,9
16,1,envisioneer one-to-one eyeballs,6
17,3,revolutionize killer markets,6
18,5,extend user-centric partnerships,1
19,3,seize e-business schemas,12
20,5,optimize real-time applications,3
21,2,innovate customized users,13
22,1,recontextualize collaborative bandwidth,19
23,1,transition innovative infrastructures,17
24,2,visualize sexy users,10
25,5,target scalable web services,14
26,5,incentivize holistic convergence,18
27,1,integrate e-business partnerships,12
28,4,visualize killer e-markets,4
29,5,e-enable best-of-breed action-items,18
30,1,engineer impactful e-tailers,19
31,2,embrace killer synergies,6
32,3,evolve innovative functionalities,14
33,3,synergize transparent architectures,15
34,5,streamline end-to-end deliverables,8
35,1,disintermediate back-end deliverables,16
36,3,engineer one-to-one schemas,19
37,3,benchmark efficient experiences,3
38,5,architect global e-commerce,9
39,4,innovate world-class solutions,15
40,2,visualize innovative e-tailers,12
41,5,brand efficient supply-chains,18
42,5,architect robust synergies,10
43,3,iterate dot-com bandwidth,6
44,2,redefine e-business interfaces,13
45,3,streamline frictionless relationships,8
46,5,benchmark bricks-and-clicks networks,14
47,2,iterate cross-media bandwidth,5
48,5,transition B2C ROI,7
49,2,extend dot-com web-readiness,17
50,4,monetize open-source metrics,9
51,2,envisioneer one-to-one portals,16
52,2,aggregate innovative relationships,19
53,3,integrate cross-platform partnerships,12
54,1,facilitate robust partnerships,19
55,5,recontextualize distributed bandwidth,18
56,1,utilize impactful schemas,17
57,1,expedite leading-edge e-commerce,7
58,1,repurpose distributed experiences,8
59,1,generate efficient metrics,14
60,2,e-enable end-to-end users,7
61,5,grow bleeding-edge platforms,18
62,1,deliver customized experiences,6
63,4,recontextualize innovative methodologies,15
64,5,leverage customized e-markets,13
65,3,leverage compelling schemas,5
66,4,harness customized synergies,17
67,3,empower interactive networks,1
68,4,benchmark efficient infrastructures,8
69,3,envisioneer cross-media mindshare,13
70,5,utilize wireless applications,4
71,3,seize web-enabled e-business,17
72,2,orchestrate B2C supply-chains,11
73,2,matrix B2C e-markets,4
74,3,visualize granular channels,14
75,5,utilize plug-and-play systems,8
76,3,target strategic solutions,4
77,2,expedite 24/7 portals,4
78,3,expedite efficient markets,7
79,2,brand robust models,9
80,5,morph next-generation infomediaries,13
81,1,revolutionize front-end partnerships,5
82,3,e-enable dynamic synergies,8
83,1,visualize cutting-edge action-items,11
84,2,revolutionize seamless web-readiness,1
85,4,benchmark robust models,3
86,5,strategize integrated deliverables,3
87,2,enable transparent initiatives,11
88,3,facilitate strategic functionalities,1
89,1,generate bleeding-edge paradigms,11
90,5,deliver dynamic initiatives,19
91,1,productize vertical web services,4
92,2,incubate sticky schemas,17
93,3,evolve viral web services,10
